Source,Target,Weight
Jackson,Post Office,5
Jackson,SMS,1
Post Office,Microsoft Exchange,6
Post Office,SMS,1
Post Office,COVID,1
Post Office,Royal Mail Group,3
Post Office,non-Post Office,1
Post Office,Patrick Baulk's,1
Post Office,Phase 5/6,1
Post Office,Horizon,51
Post Office,Craigadon Post Office,2
Post Office,Justice Fraser,1
Post Office,Post Office Limited,5
Post Office,the system,11
Post Office,Crystal Reports,1
Post Office,error,8
Post Office,bug,18
Post Office,shortfall,10
Post Office,suspense account,7
Post Office,Post Office Network,1
Post Office,the Federation of Subpostmasters,1
Post Office,Post Office Counters,1
Post Office,ICL Pathway,1
Post Office,Horizon Cash,1
Post Office,discrepancy,1
Post Office,Susan Harding,2
Post Office,Alan Layton,2
Post Office,Betty Williams,1
Post Office,the Post Office Limited's,1
Post Office,Federation,2
Post Office,mediation scheme,5
Post Office,the National Federation of Subpostmasters,1
Post Office,Davey,1
Post Office,the Royal Mail,1
Post Office,Alliance,1
Post Office,the Proceeds of Crime Act,1
Post Office,audit,1
Post Office,Crown,1
Post Office,Crown Office,1
Post Office,Ed Davey,1
Post Office,GLO,1
Post Office,Jo Swinson,1
Post Office,Norman Lamb,1
Post Office,Pat McFadden,1
Post Office,Deloitte,1
Post Office,Second Sight,48
Post Office,Richard Morgan QC,1
Post Office,Susan Crichton,6
Post Office,Criminal,1
Post Office,Seema Misra,1
Post Office,PA Consulting,1
Post Office,Alan Bates,1
Post Office,defect,5
Post Office,Ms Venals,1
Post Office,the Post Office Board,1
Post Office,Vennells,2
Post Office,Royal Mail,4
Post Office,Working Group,1
Post Office,Board,2
Post Office,Davis,2
Post Office,CCRC,4
Post Office,Fujitsu,22
Post Office,Wynne,1
Post Office,the Court of Appeal,1
Post Office,Lesley Sewell,2
Post Office,Mrs Misra,1
Post Office,Ms Sewell,1
Post Office,Gareth Jenkins,3
Post Office,Simon,3
Post Office,Simon Richardson,1
Post Office,Horizon Online,3
Post Office,Legacy Horizon,2
Post Office,NBSC,1
Post Office,mismatch,4
Post Office,Falkirk,1
Post Office,Ian Henderson,5
Post Office,Anthony Hooper,1
Post Office,James Arbuthnot,1
Post Office,Beer,2
