Id,Label,Degree
Jackson,Jackson,2
Post Office,Post Office,141
Microsoft Exchange,Microsoft Exchange,2
Phase 4,Phase 4,1
Gareth Jenkins,Gareth Jenkins,18
Mr Longman,Mr Longman,1
SMS,SMS,2
Deloitte,Deloitte,15
Ernst Young,Ernst Young,3
Horizon,Horizon,65
KPMG,KPMG,3
Alice Perkins,Alice Perkins,15
Alwen Lyons,Alwen Lyons,14
Angela Vandenbergard,Angela Vandenbergard,6
Mark Davis,Mark Davis,8
Paula Venells,Paula Venells,6
Susan Crichton,Susan Crichton,47
Tim Parker,Tim Parker,6
COVID,COVID,1
Royal Mail Group,Royal Mail Group,4
non-Post Office,non-Post Office,2
Patrick Baulk's,Patrick Baulk's,1
Phase 5/6,Phase 5/6,1
Katie Stewart,Katie Stewart,1
Sandra Dawson,Sandra Dawson,1
Emerita,Emerita,3
Sandra,Sandra,3
Sidney Sussex College,Sidney Sussex College,3
University College Cambridge,University College Cambridge,3
Stewart,Stewart,1
Sydney Sussex College,Sydney Sussex College,1
Craigadon Post Office,Craigadon Post Office,1
Justice Fraser,Justice Fraser,1
Post Office Limited,Post Office Limited,4
the system,the system,17
Crystal Reports,Crystal Reports,2
error,error,19
bug,bug,29
shortfall,shortfall,13
suspense account,suspense account,16
Post Office Network,Post Office Network,3
the Federation of Subpostmasters,the Federation of Subpostmasters,3
Post Office Counters,Post Office Counters,2
ICL Pathway,ICL Pathway,2
Horizon Cash,Horizon Cash,2
discrepancy,discrepancy,3
FAD,FAD,1
Susan Harding,Susan Harding,2
Alan Layton,Alan Layton,4
Betty Williams,Betty Williams,2
Dave Smith,Dave Smith,2
Horizon Integrity,Horizon Integrity,2
Alan Bates,Alan Bates,6
Smith,Smith,1
Royal Mail Group PLC,Royal Mail Group PLC,1
NBSC,NBSC,3
the Post Office Limited's,the Post Office Limited's,1
Richard Barker,Richard Barker,1
the Commercial Network,the Commercial Network,1
Alan,Alan,3
Mike Wakely,Mike Wakely,2
Sandy Stephen,Sandy Stephen,2
Federation,Federation,2
the Royal Mail Group,the Royal Mail Group,2
mediation scheme,mediation scheme,12
Computer Weekly,Computer Weekly,2
Rebecca Thompson,Rebecca Thompson,1
BIS,BIS,3
Business Innovation,Business Innovation,2
Skills,Skills,2
the National Federation of Subpostmasters,the National Federation of Subpostmasters,1
BUR,BUR,2
DTI,DTI,2
the Select Committee,the Select Committee,2
Davey,Davey,2
the Royal Mail,the Royal Mail,2
Alliance,Alliance,1
the Proceeds of Crime Act,the Proceeds of Crime Act,1
audit,audit,10
Crown,Crown,2
Channel 4,Channel 4,2
JFSA,JFSA,1
Crown Office,Crown Office,6
Ed Davey,Ed Davey,6
GLO,GLO,8
Jo Swinson,Jo Swinson,6
Norman Lamb,Norman Lamb,6
Pat McFadden,Pat McFadden,6
defect,defect,17
Second Sight,Second Sight,39
Lesley Sewell,Lesley Sewell,16
Simon Baker,Simon Baker,8
Ron,Ron,9
Alice,Alice,9
Vennells,Vennells,17
Project Spire,Project Spire,2
Project Spy,Project Spy,1
the Court of Appeal,the Court of Appeal,10
Richard Morgan QC,Richard Morgan QC,2
Criminal,Criminal,1
Olwen,Olwen,3
Mishra,Mishra,1
Seema Misra,Seema Misra,5
Mrs Misra's,Mrs Misra's,8
Richard Morgan,Richard Morgan,5
Hugh Flemington,Hugh Flemington,2
Ms Crichton's,Ms Crichton's,1
Ms Misra,Ms Misra,1
Board,Board,11
Casey,Casey,3
PA Consulting,PA Consulting,1
Grant Thornton,Grant Thornton,1
Post,Post,2
James R. Buttnott's,James R. Buttnott's,1
Kay Lynell,Kay Lynell,3
David Oliver,David Oliver,3
Access Legal,Access Legal,1
Shoesmiths,Shoesmiths,1
the Second Sight Interim Report,the Second Sight Interim Report,1
Janet,Janet,1
Ms Lyons,Ms Lyons,1
Mark,Mark,2
Rod/Leslie,Rod/Leslie,2
Ms Venals,Ms Venals,3
James Arbuthnot,James Arbuthnot,9
Baker,Baker,2
Ron Warmington,Ron Warmington,2
Wynne,Wynne,9
the Post Office Board,the Post Office Board,1
Alwyn Lyon,Alwyn Lyon,5
Mark Davies,Mark Davies,5
Martin Edwards,Martin Edwards,6
Sue,Sue,5
Royal Mail,Royal Mail,5
Working Group,Working Group,1
Isaac Perkins,Isaac Perkins,2
MPs,MPs,7
Davis,Davis,3
Alan Bates',Alan Bates',2
CCRC,CCRC,14
Fujitsu,Fujitsu,42
the Second Sight Review,the Second Sight Review,2
Simon Clarke's,Simon Clarke's,1
the Court of Appeal Criminal Division,the Court of Appeal Criminal Division,1
Horizon Online,Horizon Online,16
Legacy Horizon,Legacy Horizon,18
Ms Meadows,Ms Meadows,3
Ms Sewell,Ms Sewell,5
Mrs Misra,Mrs Misra,3
Carl Lightking,Carl Lightking,1
Anthony Hooper,Anthony Hooper,4
Hillsborough,Hillsborough,1
Simon,Simon,5
the Simon Clarke Review,the Simon Clarke Review,2
Horizon Computer Systems,Horizon Computer Systems,2
Commission,Commission,2
Magistrates' Court,Magistrates' Court,2
Simon Richardson,Simon Richardson,6
Chair,Chair,6
Paula Venles,Paula Venles,6
Comms,Comms,1
Network,Network,1
Paula Vennells,Paula Vennells,1
the General Counsel,the General Counsel,4
Bon Dickinson,Bon Dickinson,3
Cartwright King,Cartwright King,7
Simon King,Simon King,3
Falkirk,Falkirk,5
mismatch,mismatch,12
CFO,CFO,2
Global Head of Investigations,Global Head of Investigations,2
GE Capital,GE Capital,2
Head of Fraud Management,Head of Fraud Management,1
Second Sight Support Services Limited,Second Sight Support Services Limited,1
Susan Kreischer,Susan Kreischer,2
Ian Henderson,Ian Henderson,20
Beer,Beer,4
Michael Rudkin,Michael Rudkin,2
Rudkin,Rudkin,2
CRR,CRR,1
Ian,Ian,9
Bearer,Bearer,1
Spot Review,Spot Review,1
Cameron Freeman,Cameron Freeman,1
Al Cameron,Al Cameron,2
Cameron,Cameron,4
Paul Venells,Paul Venells,3
PowerPoint,PowerPoint,2
Paula Vannells,Paula Vannells,2
Allin Lyons,Allin Lyons,2
Ojard,Ojard,2
Citibank,Citibank,2
Treasury,Treasury,3
Oliver Letwin,Oliver Letwin,2
ATM,ATM,2
"The Grocer,","The Grocer,",1
Maureen McKelvie,Maureen McKelvie,2
Nicola Arch,Nicola Arch,2
Susan Palmer,Susan Palmer,2
Jason Coyne's,Jason Coyne's,2
Julie Walstenholme,Julie Walstenholme,2
BDO Stoy Heywood,BDO Stoy Heywood,2
Lee Castleton,Lee Castleton,2
PinICL,PinICL,12
John Elsing,John Elsing,2
John Scott's,John Scott's,3
the Post Office Investigation Department,the Post Office Investigation Department,3
Amanda Peacock,Amanda Peacock,1
Roderick Williams,Roderick Williams,4
Investigations Department,Investigations Department,1
Belinda Crowe,Belinda Crowe,7
Chris O'Yard,Chris O'Yard,4
General Counsel,General Counsel,7
Ojaard,Ojaard,1
Susan Creisham,Susan Creisham,1
Jo,Jo,2
Hang,Hang,1
Clarke,Clarke,2
Hamilton,Hamilton,2
Mr Jenkins,Mr Jenkins,1
Angela Vanden Bogart,Angela Vanden Bogart,4
Chris Oyarb,Chris Oyarb,4
Patrick Baulk,Patrick Baulk,4
Chris Ojard,Chris Ojard,1
Jane McLeod,Jane McLeod,1
Jones,Jones,1
Ms Crichton,Ms Crichton,1
NDA,NDA,1
Freeths,Freeths,2
Jason Coyne,Jason Coyne,2
Patrick Green,Patrick Green,2
Warden,Warden,2
Kay Linnell,Kay Linnell,1
Mrs Jeremiah,Mrs Jeremiah,1
TC,TC,1
National Savings Investments,National Savings Investments,3
Bank of America,Bank of America,1
Steen,Steen,1
Lloyds Bank,Lloyds Bank,2
POL,POL,1
Paul,Paul,1
Mr Ismay,Mr Ismay,2
Joe,Joe,1
Bank of Ireland,Bank of Ireland,3
Fed,Fed,3
the Forward Money Changer,the Forward Money Changer,1
Ms Perkins,Ms Perkins,2
Joe Hamilton,Joe Hamilton,1
Howe Co,Howe Co,2
Angela Vanna-Bogaert,Angela Vanna-Bogaert,1
Belinda Ojard,Belinda Ojard,3
Bonn Pierce,Bonn Pierce,3
Cambridge University,Cambridge University,1
"university,","university,",1
ICL,ICL,5
International Computers Limited,International Computers Limited,1
Fujitsu Services Limited,Fujitsu Services Limited,2
ICL Fujitsu,ICL Fujitsu,1
Project Impact,Project Impact,8
the Bureau de Change,the Bureau de Change,1
Bureau de Change,Bureau de Change,2
Dale Mellington,Dale Mellington,1
Fraser,Fraser,2
Riposte,Riposte,4
Escher,Escher,5
Repos,Repos,1
ICO,ICO,2
Oracle,Oracle,1
Benefits Agency,Benefits Agency,1
IBM,IBM,1
the Network Banking Engine,the Network Banking Engine,1
Jeremy Folkes,Jeremy Folkes,2
the Infrastructure Assurance Team,the Infrastructure Assurance Team,2
Jeremy,Jeremy,2
the Benefits Agency,the Benefits Agency,2
the Post Office Counters Limited,the Post Office Counters Limited,2
DSS,DSS,3
ITL Management,ITL Management,3
EPOSS,EPOSS,13
PFI,PFI,2
SSC,SSC,5
the Customer Services Directorate,the Customer Services Directorate,1
PEAK,PEAK,8
Peak,Peak,2
Del Mellington's,Del Mellington's,3
Gareth,Gareth,7
REPOS,REPOS,1
David MacDonald,David MacDonald,3
Alan Ward,Alan Ward,4
Gareth Jenkins',Gareth Jenkins',2
EPOSS PinICL Task Force,EPOSS PinICL Task Force,3
the EPOSS PinICL Task Force,the EPOSS PinICL Task Force,3
Austin Bennett,Austin Bennett,1
McDonnell,McDonnell,1
LFS,LFS,1
MacDonald,MacDonald,1
CBDB,CBDB,1
SAP,SAP,3
Paragraphs 45,Paragraphs 45,4
Phil Boardman,Phil Boardman,2
Ms Harding,Ms Harding,1
Castleton,Castleton,7
the Marine Drive Post Office,the Marine Drive Post Office,2
Bentley Johnson,Bentley Johnson,2
Jeninson,Jeninson,2
Richard Benton,Richard Benton,3
Marine Drive,Marine Drive,5
the Civil Procedure Rules,the Civil Procedure Rules,1
Brian Pinder,Brian Pinder,11
Brian,Brian,1
Pinder Having,Pinder Having,1
Correct,Correct,3
AP,AP,2
Dave Baldwin,Dave Baldwin,1
Saying,Saying,1
Graham,Graham,5
Pinder,Pinder,12
Greg,Greg,2
Graham Ward,Graham Ward,3
Andy,Andy,3
Dunks,Dunks,3
Peter Sewell,Peter Sewell,3
Anne Chambers,Anne Chambers,3
Naomi Ellis,Naomi Ellis,2
Pearce,Pearce,1
Bond Pearce,Bond Pearce,2
Stephen Dilley,Stephen Dilley,3
Mandy Talbot,Mandy Talbot,1
Penny Thomas,Penny Thomas,5
Mr Sewell,Mr Sewell,1
Sewell,Sewell,1
Dilley,Dilley,4
First Draft Statement,First Draft Statement,4
Stephen up re,Stephen up re,1
Hosey,Hosey,3
Misra,Misra,8
James Davidson,James Davidson,4
Panter,Panter,2
Panton,Panton,2
Rachel Panter,Rachel Panter,2
Penny,Penny,3
Jane Owen,Jane Owen,3
Jane Bradbury,Jane Bradbury,2
Jane Irwin,Jane Irwin,2
Jane,Jane,1
Neill,Neill,4
Sefton,Sefton,4
Allen,Allen,8
Ishaq,Ishaq,9
Ms Misra's,Ms Misra's,5
Ms Neild's,Ms Neild's,5
Ms Sefton,Ms Sefton,5
Thomas,Thomas,5
David Jones,David Jones,2
