sentence_index,entity_raw,entity_normalised,category,sentence_text
10,Jenkins,Gareth Jenkins,Individual,"Good morning, Mr. Jenkins."
11,Jason Beer,Beer,Individual,My name is Jason Beer and I ask questions on behalf of the Inquiry.
15,Beer,Beer,Individual,"Mr. Beer, before you go any further, is it appropriate for me to direct Mr. Jenkins about
self-incrimination?"
15,Jenkins,Gareth Jenkins,Individual,"Mr. Beer, before you go any further, is it appropriate for me to direct Mr. Jenkins about
self-incrimination?"
17,Jenkins,Gareth Jenkins,Individual,"Mr. Jenkins, I'm sure you've been advised, but under our law, a witness at a public inquiry
has the right to decline to answer a question put to him by any of the lawyers involved
in the inquiry or by me if there is a risk that the answer to that question would incriminate
you."
26,Jenkins,Gareth Jenkins,Individual,"Do you understand all that, Mr Jenkins?"
29,Beer,Beer,Individual,"Yes, Mr Beer."
31,Jenkins,Gareth Jenkins,Individual,"Mr Jenkins, you've made five witness statements to the inquiry."
83,"University, Cambridge University","University, Cambridge University",Organisation,"I think you graduated in 1973 from University, Cambridge University,
with a degree in mathematics."
85,International Computers Limited,International Computers Limited,Organisation,"And upon graduation, you immediately worked for International Computers Limited,
ICL, is that right?"
85,ICL,ICL,Organisation,"And upon graduation, you immediately worked for International Computers Limited,
ICL, is that right?"
87,ICL,ICL,Organisation,And ICL became Fujitsu Services Limited in 2002?
87,Fujitsu Services Limited,Fujitsu Services Limited,Organisation,And ICL became Fujitsu Services Limited in 2002?
95,ICL Fujitsu,ICL Fujitsu,Organisation,"Dealing briefly at the moment with the stages of your career at ICL Fujitsu,
so far as concerns us, from about 1996 to about 2000, did you work in the agent team?"
97,Horizon,Horizon,Technical System,"You were one of a team of 10 to 20 architects working on the Horizon system, is that right?"
114,the Bureau de change,the Bureau de change,Organisation,"You tell us in your witness statement that from 2002 to 2008 you, quote, took on the
role of defining the technical changes required by project impact and worked on the implementation
of the Bureau de change and the acceptance of credit cards."
117,Bureau de Charge,Bureau de Charge,Organisation,"So I worked on impact until
that went live in 2005, I think it was, then I worked on Bureau de Charge and credit card
changes and then a few other minor things before I moved on to Horizon Online requirements
capture."
117,Horizon Online,Horizon Online,Technical System,"So I worked on impact until
that went live in 2005, I think it was, then I worked on Bureau de Charge and credit card
changes and then a few other minor things before I moved on to Horizon Online requirements
capture."
118,Horizon Online,Horizon Online,Technical System,Did you move on to Horizon Online from about 2008?
120,Horizon Online,Horizon Online,Technical System,And did you work on Horizon Online from 2008 to about 2015?
122,Horizon Online,Horizon Online,Technical System,"You tell us in your witness statement that you, quote, worked with post office analysts
in defining the technical requirements for Horizon Online."
128,Horizon Online,Horizon Online,Technical System,"The contractual definition of how Horizon Online was to work was that the counter should
operate in the same way as it did on legacy horizon and therefore it was decided that
we needed to put in place something that actually defined exactly what that was and the technique
that was decided was that the post office would put together the use cases to define
the various activities that went on in the post office, to define the steps that people
went through from how do you sell a stamp to how do you balance at the end of the week
or whatever."
133,Fujitsu,Fujitsu,Organisation,"You tell us that during your time at Fujitsu you were a group of anywhere
between 20 and 100 software designers and developers who would provide
fourth-line support for both Legacy Horizon and Horizon Online?"
133,Legacy Horizon,Legacy Horizon,Technical System,"You tell us that during your time at Fujitsu you were a group of anywhere
between 20 and 100 software designers and developers who would provide
fourth-line support for both Legacy Horizon and Horizon Online?"
133,Horizon Online,Horizon Online,Technical System,"You tell us that during your time at Fujitsu you were a group of anywhere
between 20 and 100 software designers and developers who would provide
fourth-line support for both Legacy Horizon and Horizon Online?"
140,ICL,ICL,Organisation,"In your first witness statement, you refer to ICL introducing what's called a distinguished
engineer scheme, correct?"
143,ICL,ICL,Organisation,"You were one of about 100 other ICL employees who were described as distinguished engineer,
is that right?"
145,ICL,ICL,Organisation,Is it right that that was an honorific title conferred upon you by ICL or Fujitsu?
145,Fujitsu,Fujitsu,Organisation,Is it right that that was an honorific title conferred upon you by ICL or Fujitsu?
159,Fujitsu,Fujitsu,Organisation,"You tell us in your first witness statement that from about 2015 until August 2012, so
after, sorry, 2022, you were on a retainer with Fujitsu as a consultant, is that right?"
166,COVID,COVID,Individual,"I don't think,
although I was on the retainer until August 2022, I think the last time I actually did any pay
consultancy was just before COVID lockdown in 2020, which is why they decided they, since they
hadn't been using me for a couple of years, that they didn't need to retain me any further."
168,the Horizon Issues Judgment,the Horizon Issues Judgment,Organisation,"So did your retainer essentially come to an end
at the time of the publication of the Horizon Issues Judgment, which was December 19?"
171,Horizon,Horizon,Technical System,"Other than the provision of information, assistance and evidence in
connection with the litigation concerning the Horizon system, what work did you perform in
this consultancy?"
176,Fujitsu,Fujitsu,Organisation,"They tried to do a reconciliation against data they had from Fujitsu, and I realized
what the problem was, it was to do with the fact that they were taking the accounts at
different times."
191,GLO,GLO,Organisation,"I can't remember the gory details of exactly what I was doing when,
but there were a number of notes that I produced, which I wasn't quite sure what the background was,
but looking back at it now, I realise was actually maybe in preparation for
what eventually became the GLO."
195,Fraser,Fraser,Individual,"In high-level summary, would you agree that Mr Justice Fraser concluded, firstly, that
legacy Horizon was not remotely robust?"
195,Horizon,Horizon,Technical System,"In high-level summary, would you agree that Mr Justice Fraser concluded, firstly, that
legacy Horizon was not remotely robust?"
198,Horizon Online,Horizon Online,Technical System,Do you accept that Horizon Online was susceptible to accounting flaws?
207,Legacy Horizon,Legacy Horizon,Technical System,Do I take it that you accept his first finding that Legacy Horizon was not remotely robust?
209,Horizon Online,Horizon Online,Technical System,You don't accept his finding that Horizon Online was susceptible to accounting flaws?
215,Horizon,Horizon,Technical System,"Horizon, both legacy and online, was working well in your view?"
220,Horizon,Horizon,Technical System,"Can I turn in more detail to your role in the development and rollout of the Horizon
system and in – no need to turn it up – paragraphs 18 to 23 of your first witness statement,
you describe your roles and responsibilities at ICL and then Fujitsu."
220,ICL,ICL,Organisation,"Can I turn in more detail to your role in the development and rollout of the Horizon
system and in – no need to turn it up – paragraphs 18 to 23 of your first witness statement,
you describe your roles and responsibilities at ICL and then Fujitsu."
220,Fujitsu,Fujitsu,Organisation,"Can I turn in more detail to your role in the development and rollout of the Horizon
system and in – no need to turn it up – paragraphs 18 to 23 of your first witness statement,
you describe your roles and responsibilities at ICL and then Fujitsu."
221,Legacy Horizon,Legacy Horizon,Technical System,"So between 1996 and 2002, you tell us that your initial role with Legacy Horizon was
quote to integrate Riposte and the Oracle based software, yes?"
221,Riposte,Riposte,Technical System,"So between 1996 and 2002, you tell us that your initial role with Legacy Horizon was
quote to integrate Riposte and the Oracle based software, yes?"
221,Oracle,Oracle,Individual,"So between 1996 and 2002, you tell us that your initial role with Legacy Horizon was
quote to integrate Riposte and the Oracle based software, yes?"
225,Riposte,Riposte,Technical System,"Firstly, can you describe briefly what Riposte was?"
226,Riposte,Riposte,Technical System,"Riposte was a messaging – well, step back one."
227,Riposte,Riposte,Technical System,"There were two aspects to Riposte, and
this was software that we had bought in at Post Office's request from a company called
Escher in the United States."
227,Post Office's,Post Office,Organisation,"There were two aspects to Riposte, and
this was software that we had bought in at Post Office's request from a company called
Escher in the United States."
227,Escher,Escher,Individual,"There were two aspects to Riposte, and
this was software that we had bought in at Post Office's request from a company called
Escher in the United States."
230,Riposte,Riposte,Technical System,"Then the other part of Riposte was a development environment that allowed applications to be
built on that, and the application environment that caused the human interface that the postmaster
saw in the branches."
232,Project Impact,Project Impact,Organisation,"I got more involved in that when I moved on to Project Impact in 2003
or so."
233,Riposte,Riposte,Technical System,"But in the early days, my main interaction with Riposte was to do with the message store."
