Rank,Entity,Degree
1,Post Office,141
2,Horizon,65
3,Susan Crichton,47
4,Fujitsu,42
5,Second Sight,39
6,bug,29
7,Ian Henderson,20
8,Gareth Jenkins,18
9,Vennells,17
10,suspense account,16
11,Alice Perkins,15
12,CCRC,14
13,EPOSS,13
14,shortfall,13
15,Pinder,12
16,Brian Pinder,11
17,audit,10
18,the Court of Appeal,10
19,James Arbuthnot,9
20,Ian,9
21,Project Impact,8
22,MPs,7
23,Castleton,7
24,Gareth,7
25,Simon Richardson,6
26,Alan Bates,6
27,Seema Misra,5
28,Penny Thomas,5
29,ICL,5
30,Alan Layton,4
31,James Davidson,4
32,Anthony Hooper,4
33,Alan,3
34,Graham Ward,3
35,BIS,3
36,Citibank,2
37,Computer Weekly,2
38,Microsoft Exchange,2
39,Davey,2
40,Channel 4,2
41,Rudkin,2
42,GE Capital,2
