Rank,Entity A,Entity B
1,Post Office,Microsoft Exchange
2,Post Office,COVID
3,Post Office,Patrick Baulk's
4,Post Office,Phase 5/6
5,Post Office,Craigadon Post Office
6,Post Office,Justice Fraser
7,Post Office,the Post Office Limited's
8,Post Office,the National Federation of Subpostmasters
9,Post Office,Davey
10,Post Office,Alliance
11,Post Office,the Proceeds of Crime Act
12,Post Office,Criminal
13,Post Office,PA Consulting
14,Post Office,the Post Office Board
15,Post Office,Working Group
16,Post Office,CRR
17,Post Office,Investigations Department
18,Post Office,Mr Jenkins
19,Post Office,Jones
20,Post Office,Mrs Jeremiah
21,Post Office,Steen
22,Post Office,the Forward Money Changer
23,Post Office,Oracle
24,Post Office,the Customer Services Directorate
25,Post Office,CBDB
26,Post Office,the Civil Procedure Rules
27,Post Office,Stephen up re
28,Microsoft Exchange,Phase 4
29,Gareth Jenkins,Mr Longman
30,Horizon,FAD
31,Horizon,Project Spy
32,Horizon,Dave Baldwin
33,Horizon,Saying
34,Alice Perkins,Joe Hamilton
35,Susan Crichton,Carl Lightking
36,Susan Crichton,Comms
37,Susan Crichton,Hang
38,Katie Stewart,Sandra Dawson
39,Stewart,Sydney Sussex College
40,bug,Cameron Freeman
41,bug,Dale Mellington
42,shortfall,Joe
43,suspense account,TC
44,suspense account,Ms Harding
45,Alan Layton,Royal Mail Group PLC
46,Alan Bates,Smith
47,Richard Barker,the Commercial Network
48,Alan,Kay Linnell
49,Computer Weekly,Rebecca Thompson
50,Computer Weekly,"The Grocer,"
51,BIS,James Arbuthnot
52,Davey,Channel 4
53,Channel 4,JFSA
54,Second Sight,Grant Thornton
55,Second Sight,the Second Sight Interim Report
56,Second Sight,Network
57,Second Sight,Second Sight Support Services Limited
58,Second Sight,NDA
59,Vennells,James R. Buttnott's
60,Mishra,Seema Misra
61,Ms Crichton's,Ms Misra
62,Access Legal,Shoesmiths
63,Janet,Ms Lyons
64,MPs,Bearer
65,CCRC,Amanda Peacock
66,Fujitsu,Rudkin
67,Fujitsu,Ms Crichton
68,Fujitsu,ICL Fujitsu
69,Fujitsu,Pearce
70,Simon Clarke's,the Court of Appeal Criminal Division
71,Anthony Hooper,Hillsborough
72,Simon Richardson,Paula Vennells
73,GE Capital,Head of Fraud Management
74,GE Capital,Citibank
75,Ian Henderson,Susan Creisham
76,Ian Henderson,Angela Vanna-Bogaert
77,Rudkin,Spot Review
78,Ian,Ojaard
79,Citibank,Bank of America
80,Chris Ojard,Jane McLeod
81,POL,Paul
82,Cambridge University,"university,"
83,ICL,International Computers Limited
84,ICL,Benefits Agency
85,Project Impact,the Bureau de Change
86,Project Impact,Repos
87,IBM,the Network Banking Engine
88,EPOSS,REPOS
89,EPOSS,LFS
90,EPOSS,MacDonald
91,Gareth,Jane
92,Austin Bennett,McDonnell
93,Castleton,Sewell
94,Brian Pinder,Penny Thomas
95,Brian,Pinder Having
96,Pinder,Mr Sewell
97,Graham Ward,Mandy Talbot
