,Post Office,Horizon,Susan Crichton,Fujitsu,Second Sight,bug,Gareth Jenkins,Ian Henderson,error,Legacy Horizon,system,defect,Vennells,suspense account,Horizon Online,Deloitte,Alice Perkins,Lesley Sewell,Alwen Lyons,CCRC,shortfall,mediation scheme,mismatch,EPOSS,Board,PinICL,Brian Pinder,audit,Court of Appeal,Pinder
Post Office,0,51,6,22,48,18,3,5,8,2,11,5,2,7,3,1,0,2,0,4,10,5,4,1,2,1,0,1,1,0
Horizon,51,0,0,8,9,32,0,1,25,16,5,23,3,5,25,3,0,2,2,1,8,0,3,3,1,1,0,4,1,0
Susan Crichton,6,0,0,3,3,0,0,2,0,0,0,0,1,0,0,1,6,9,5,2,0,1,0,0,1,0,0,0,1,0
Fujitsu,22,8,3,0,2,6,1,0,2,2,3,2,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0
Second Sight,48,9,3,2,0,6,0,1,1,0,4,3,5,0,0,7,1,0,3,1,0,3,0,0,3,0,0,1,1,0
bug,18,32,0,6,6,0,0,0,28,7,11,27,2,4,11,0,0,2,3,0,4,0,6,0,0,1,0,0,0,0
Gareth Jenkins,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,4
Ian Henderson,5,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
error,8,25,0,2,1,28,0,0,0,5,3,26,0,2,7,0,0,0,0,0,5,0,1,0,0,1,0,0,0,1
Legacy Horizon,2,16,0,2,0,7,0,0,5,0,1,5,0,1,9,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
system,11,5,0,3,4,11,0,0,3,1,0,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
defect,5,23,0,2,3,27,0,0,26,5,3,0,0,1,7,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
Vennells,2,3,1,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
suspense account,7,5,0,0,0,4,0,0,2,1,1,1,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
Horizon Online,3,25,0,1,0,11,0,0,7,9,1,7,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
Deloitte,1,3,1,0,7,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0
Alice Perkins,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0
Lesley Sewell,2,2,9,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alwen Lyons,0,2,5,1,3,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
CCRC,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
shortfall,10,8,0,1,0,4,0,1,5,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mediation scheme,5,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
mismatch,4,3,0,1,0,6,0,0,1,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPOSS,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Board,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PinICL,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Brian Pinder,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
audit,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Court of Appeal,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Pinder,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
